Brand,Model,Fuel_Type,Year,Kilometers_Driven,Engine,Price
Volkswagen,ID.3,Electric,2024,15251,1800,995000
Volkswagen,ID.5,Electric,2024,13296,2640,1495000
Volkswagen,ID.4,Electric,2023,38337,2640,1195000
Cupra,Born,Electric,2023,16119,2040,995000
Audi,E-Tron,Electric,2023,35279,3600,1495000
Skoda,Enyaq,Electric,2023,27183,1584,1095000
Audi,RS3,Petrol,2022,25996,3528,3245000
Audi,E-Tron,Electric,2023,37360,3600,1495000
Audi,A4 Avant,Petrol,2023,32390,1800,1095000
Audi,R8 Performance,Petrol,2019,25990,5472,3995000
Audi,Q3,Petrol,2023,17099,1680,1195000
Audi,Q4 e-tron,Electric,2023,36667,2640,1245000
BMW,330i xDrive Touring,Petrol,2024,10842,2160,1245000
BMW,120d,Diesel,2024,10361,1680,1145000
BMW,520d Touring,Diesel,2024,24700,1740,1745000
BMW,520d Touring,Diesel,2024,21980,1740,1745000
BMW,118i,Petrol,2024,9747,1200,995000
BMW,330i xDrive Touring,Petrol,2024,7785,2160,1195000
Cupra,Tavascan,Electric,2025,13855,2520,1295000
Cupra,Formentor,Petrol,2024,24519,1320,895000
Cupra,Born,Electric,2023,21460,1800,895000
Cupra,Formentor,Diesel,2025,28331,1320,1095000
Cupra,Formentor VZ,Petrol,2025,49,2940,1395000
Cupra,Terramar,Petrol,2025,21946,1320,1145000
Mercedes-Benz,EQB 300 4Matic,Electric,2024,10634,2016,1495000
Mercedes-Benz,A 200,Petrol,2024,13000,1440,1145000
Mercedes-Benz,C 300 T-Modell,Petrol,2023,300,2280,1745000
Mercedes-Benz,A 250e,Hybrid - Benzin,2024,22130,1920,1195000
Mercedes-Benz,EQA 250,Electric,2023,15498,1680,1195000
Mercedes-Benz,CLA 200d Shooting Brake,Diesel,2024,10000,1320,1195000
Opel,Mokka,Petrol,2025,35,1152,795000
Opel,Mokka,Petrol,2024,35,1152,795000
Opel,Corsa,Petrol,2025,35,888,595000
Opel,Corsa,Petrol,2025,35,888,595000
Opel,Mokka,Petrol,2025,35,1152,795000
Opel,Corsa,Petrol,2025,10,888,595000
